Name,Link,Description
Kütüphane Programı,https://www.kodvizit.com/kutuphane-programi,I have developed for the library of my school but now over 600 schools are using this in their libraries in Turkey.
Cekilis Sitesi,https://www.kodvizit.com/cekilis,Fast and secure raffle website on kodvizit.com/cekilis
Akıllı Kilit,https://www.kodvizit.com/akilli-kilit,Lock app for smart boards.
Herbarium,https://github.com/ahmetcanaydemir/Herbarium,Herbarium management system for universities and herbariums.
Otomatik Obis,https://github.com/ahmetcanaydemir/otomatikobis,"AI captcha solver web extension for Selcuk University's student management system. Written in Python -tensorflow, keras, heroku, JavaScript and C#."
Topluluk Puan Otomasyonu Desktop and Web,https://github.com/ahmetcanaydemir/ToplulukPuanOtomasyonu-Web,User management system for university communities. Web application written in PHP and Javascript. Desktop application written in C#.
Cekilis Programi,,It’s a programme that you can raffle about everything.
QR Code Generator,,You can generate QR Codes whatever you wish.
Format Sonrası,,Mass program installation after format computer. etc..
YBYB,,Print spooler service restarter. Also shared active directory computers with GPO.
