Const,Your Rating,Date Rated,Title,Title Type,Runtime,Year
tt0056172,2,2017-08-31,Lawrence of Arabia,movie,228,1962
tt0361748,4,2017-03-25,Inglourious Basterds,movie,153,2009
tt0064116,4,2017-08-31,C'era una volta il West,movie,165,1968
tt0079470,4,2017-09-05,Life of Brian,movie,94,1979
tt0095327,4,2017-04-14,Hotaru no haka,movie,89,1988
tt1431045,5,2016-05-07,Deadpool,movie,108,2016
tt0033467,5,2017-08-22,Citizen Kane,movie,119,1941
tt3606752,5,2019-10-16,Cars 3,movie,102,2017
tt0050825,5,2017-08-22,Paths of Glory,movie,88,1957
tt0102926,6,2017-03-04,The Silence of the Lambs,movie,118,1991
tt1216475,6,2019-08-13,Cars 2,movie,106,2011
tt1979376,6,2020-01-01,Toy Story 4,movie,100,2019
tt0246578,6,2019-05-09,Donnie Darko,movie,113,2001
tt2488496,6,2017-03-25,Star Wars: Episode VII - The Force Awakens,movie,138,2015
tt3671754,6,2017-02-19,Kardes Payi,tvSeries,70,2014
tt0438097,6,2019-08-13,Ice Age: The Meltdown,movie,91,2006
tt0062622,6,2017-04-14,2001: A Space Odyssey,movie,149,1968
tt1080016,7,2019-08-13,Ice Age: Dawn of the Dinosaurs,movie,94,2009
tt1119646,7,2020-04-08,The Hangover,movie,100,2009
tt0117951,7,2020-01-07,Trainspotting,movie,93,1996
tt0119488,7,2020-01-08,L.A. Confidential,movie,138,1997
tt0119698,7,2017-03-10,Mononoke-hime,movie,134,1997
tt0120338,7,2019-08-13,Titanic,movie,194,1997
tt0120915,7,2019-11-28,Star Wars: Episode I - The Phantom Menace,movie,136,1999
tt0121765,7,2019-12-01,Star Wars: Episode II - Attack of the Clones,movie,142,2002
tt1302011,7,2019-08-13,Kung Fu Panda 2,movie,90,2011
tt1305806,7,2020-04-04,El secreto de sus ojos,movie,129,2009
tt1323594,7,2019-08-13,Despicable Me,movie,95,2010
tt1453405,7,2019-08-13,Monsters University,movie,104,2013
tt1690953,7,2019-10-15,Despicable Me 2,movie,98,2013
tt0169547,7,2019-05-09,American Beauty,movie,122,1999
tt1772341,7,2019-10-15,Wreck-It Ralph,movie,101,2012
tt1827487,7,2020-05-03,Bir Zamanlar Anadolu'da,movie,157,2011
tt1837492,7,2019-08-13,13 Reasons Why,tvSeries,60,2017
tt1856010,7,2019-08-13,House of Cards,tvSeries,51,2013
tt1856101,7,2018-01-07,Blade Runner 2049,movie,164,2017
tt1895587,7,2019-05-09,Spotlight,movie,129,2015
tt1950186,7,2020-11-15,Ford v Ferrari,movie,152,2019
tt2015381,7,2019-05-09,Guardians of the Galaxy,movie,121,2014
tt2084970,7,2017-03-04,The Imitation Game,movie,114,2014
tt0211915,7,2019-05-09,Le fabuleux destin d'Amélie Poulain,movie,122,2001
tt2119532,7,2019-05-09,Hacksaw Ridge,movie,139,2016
tt0022100,7,2019-05-09,M - Eine Stadt sucht einen Mörder,movie,117,1931
tt2267968,7,2019-10-15,Kung Fu Panda 3,movie,95,2016
tt2527336,7,2020-01-01,Star Wars: Episode VIII - The Last Jedi,movie,152,2017
tt2582802,7,2018-12-08,Whiplash,movie,106,2014
tt0266697,7,2019-05-09,Kill Bill: Vol. 1,movie,111,2003
tt0270053,7,2019-08-13,Vizontele,movie,110,2001
tt0289043,7,2020-05-03,28 Days Later...,movie,113,2002
tt0317219,7,2019-08-13,Cars,movie,117,2006
tt0032138,7,2019-05-09,The Wizard of Oz,movie,102,1939
tt0325980,7,2019-05-09,Pirates of the Caribbean: The Curse of the Black Pearl,movie,143,2003
tt3315342,7,2017-03-27,Logan,movie,137,2017
tt0338013,7,2017-08-31,Eternal Sunshine of the Spotless Mind,movie,108,2004
tt3385516,7,2020-05-03,X-Men: Apocalypse,movie,144,2016
tt0033870,7,2020-01-08,The Maltese Falcon,movie,100,1941
tt0034583,7,2018-12-08,Casablanca,movie,102,1942
tt0347149,7,2017-03-10,Hauru no ugoku shiro,movie,119,2004
tt0351283,7,2019-08-13,Madagascar,movie,86,2005
tt0363163,7,2017-03-30,Der Untergang,movie,156,2004
tt3698408,7,2019-08-13,Pek Yakinda,movie,134,2014
tt0372784,7,2019-05-09,Batman Begins,movie,140,2005
tt3778644,7,2019-11-28,Solo: A Star Wars Story,movie,135,2018
tt0398286,7,2019-08-13,Tangled,movie,100,2010
tt0413267,7,2019-10-15,Shrek the Third,movie,93,2007
tt4158110,7,2017-02-19,Mr. Robot,tvSeries,49,2015
tt0043014,7,2018-03-25,Sunset Blvd.,movie,110,1950
tt0441773,7,2019-08-13,Kung Fu Panda,movie,92,2008
tt0044741,7,2019-08-30,Ikiru,movie,143,1952
tt4574334,7,2019-02-20,Stranger Things,tvSeries,51,2016
tt4633694,7,2019-05-09,Spider-Man: Into the Spider-Verse,movie,117,2018
tt0047396,7,2018-12-08,Rear Window,movie,112,1954
tt0477348,7,2018-01-09,No Country for Old Men,movie,122,2007
tt5027774,7,2018-06-26,"Three Billboards Outside Ebbing, Missouri",movie,115,2017
tt5071412,7,2019-08-13,Ozark,tvSeries,60,2017
tt0051201,7,2019-05-09,Witness for the Prosecution,movie,116,1957
tt0052357,7,2017-08-31,Vertigo,movie,128,1958
tt5311514,7,2018-03-25,Kimi no na wa.,movie,106,2016
tt0055031,7,2019-05-09,Judgment at Nuremberg,movie,179,1961
tt0056592,7,2019-05-09,To Kill a Mockingbird,movie,129,1962
tt0060827,7,2020-01-27,Persona,movie,85,1966
tt0064356,7,2019-12-01,Gaav,movie,104,1969
tt6628102,7,2020-05-03,Ahlat Agaci,movie,188,2018
tt6697582,7,2019-08-13,Arif V 216,movie,125,2018
tt0071853,7,2019-05-09,Monty Python and the Holy Grail,movie,91,1975
tt7286456,7,2020-01-26,Joker,movie,122,2019
tt0074958,7,2021-01-19,Network,movie,121,1976
tt0075148,7,2019-05-09,Rocky,movie,120,1976
tt0078788,7,2018-12-08,Apocalypse Now,movie,147,1979
tt0081505,7,2017-03-24,The Shining,movie,146,1980
tt0827503,7,2019-08-13,Hokkabaz,movie,122,2006
tt0084787,7,2020-01-26,The Thing,movie,109,1982
tt0086879,7,2017-09-05,Amadeus,movie,160,1984
tt0097576,7,2019-05-09,Indiana Jones and the Last Crusade,movie,127,1989
tt0978762,7,2017-04-02,Mary and Max,movie,92,2009
tt0993846,7,2019-05-09,The Wolf of Wall Street,movie,180,2013
tt1010048,8,2019-08-13,Slumdog Millionaire,movie,120,2008
tt0101414,8,2019-05-09,Beauty and the Beast,movie,84,1991
tt1028532,8,2018-01-07,Hachi: A Dog's Tale,movie,93,2009
tt0103064,8,2017-03-17,Terminator 2: Judgment Day,movie,137,1991
tt0105236,8,2019-05-09,Reservoir Dogs,movie,99,1992
tt0105695,8,2020-01-07,Unforgiven,movie,130,1992
tt0107207,8,2018-01-13,In the Name of the Father,movie,133,1993
tt0110357,8,2018-03-18,The Lion King,movie,88,1994
tt11213372,8,2021-01-19,Azizler,movie,96,2021
tt0113277,8,2020-01-06,Heat,movie,170,1995
tt0114746,8,2017-03-31,Twelve Monkeys,movie,129,1995
tt0114814,8,2018-12-08,The Usual Suspects,movie,106,1995
tt1170358,8,2019-10-16,The Hobbit: The Desolation of Smaug,movie,161,2013
tt0119217,8,2017-04-08,Good Will Hunting,movie,126,1997
tt1201607,8,2019-05-09,Harry Potter and the Deathly Hallows: Part 2,movie,130,2011
